,num,name,blog or review,visitor review
0,1,배곧 우정횟집,방문자 리뷰,가족 모임으로 다녀 왔습니다. 좋은 리뷰 평가가 많아서 일단 믿고 왔는데 부부 사장님 친절한 거부터 매장이 넓고 청결해서 가족들이 너무 만족해해서 뿌듯했습니다. 그리고 개인적으로 미식가적 자부심과 특히 회를 좋아해서 여기저기 많이 가봤는데 여기가 최고네요 사이드로 나오는 음식도 따뜻하게 그때그때 정성이 들 어가 있는 모양새로 나와서 더 좋았습니다. 오이도가 집 에서 그리 멀지도 않아서 분위기 내는 외곽으로 드라이브 겸 자주와야겠어요. 오늘 정말 잘 먹고 만족.
1,2,배곧 우정횟집,방문자 리뷰,주말에 어디갈까 하다가 티맵에 오이도 맛집 치니 똭 하고 우정회집이 나오더라고요 역시나였어요. 봄엔 도 다리라 도 다리회 시켰는데와. 아진짜 뻥 안치고 살살 녹았어요. 회 맛도 최고지만 특히 사진에 찍은 따뜻한 요리들이 줄줄이 나와서 무슨 코스 요리집 온 줄 최고입니다. 기 분 좋게 먹고 마시고 가네요. 돈이 전혀 아깝지 않은 근데 마지막 매운탕 진짜 누가 끓인 건가요 달달하면서도 칼칼한 또 가고 싶네요. 내 맛집 리스트에 저장.
2,3,배곧 우정횟집,방문자 리뷰,결혼기념일 남편이랑 다녀왔습니다. 5월 제철 도다리 회 밑반찬에 시키다 시 매운탕까지 배불리 먹고 왔습니다. 뷰도 좋고 사장님 친절하시고 좋은 추억 남기고 왔습니다.
3,4,배곧 우정횟집,방문자 리뷰,거래처 사장님 추천으로 왔다가 완전 맛있게 잘 먹었어요. 음식 진짜 깔끔하고 맛있어서 명함 챙겨 왔습니다. 앞으로 모임이나 접대는 우정횟집에서 하기로.
4,5,배곧 우정횟집,방문자 리뷰,오이도에서 제일 멋진 횟집입니다. 맛있어요.
5,6,배곧 우정횟집,방문자 리뷰,우정횟집 너무나 좋아요 주 고 좋고 음식도 맛있으며 써빙하시는 분도 너무 친절해요. 오이도 오면 여기만 와요.
6,7,배곧 우정횟집,방문자 리뷰,회 먹으러 찾다가 오게 됐어요. 3층에 안경 쓰신 이모님 정말 친절하시 구 웃으시면서 계속 말씀해주셔서 제 첫 오이도 여행이 너무 기 분 좋게 기억될 것 같아 요 맛있게 잘 먹고 갑니다.
7,8,배곧 우정횟집,방문자 리뷰,물회가 중독적이고 게장과 칼국수가 적당히 간이 되어서 맛있어요. 바쁘신 것 같지만 친절하셔서 좋았어요. 뷰도 굿.
8,9,배곧 우정횟집,방문자 리뷰,밑반찬양이 미쳤고 사장님이 너무너무 친절해요. 서비스가 계속 나와 요 배터집니다. 진짜.
9,10,배곧 우정횟집,방문자 리뷰,외국에서 온 할머니 회 먹구 싶다고 하셔서 같이 왔습니다. 음식도 맛있구 분위기도 좋구 좋습니다.
10,11,배곧 우정횟집,방문자 리뷰,너무 신선하고 맛있어요. 이 모님도 친절하고 넓고 깨끗해요. 밑반찬도 다양하게 나오고 맛있는 게 최고.
11,12,배곧 우정횟집,방문자 리뷰,오랜만에 갔는데 가격은 올랐는데 음식이 형편없네요 나오던 밑반찬 수도 엄청 줄었구요. 모듬 회랑 물회는 절대 시키지 마세요.
12,13,배곧 우정횟집,방문자 리뷰,사장님도 친절하시고 기본 반찬과 해산물도 신선하고 맛있어요.
13,14,배곧 우정횟집,방문자 리뷰,뷰도 좋고 좋으신 분들과 같이 왔는데 엄청 맛있습니다. 담에도 또 오겠습니다.
14,15,배곧 우정횟집,방문자 리뷰,안 남기고 다 먹음. 짱 맛있고 친절해요.
15,16,배곧 우정횟집,방문자 리뷰,이모님들 너무너무 친절하시고요 조개도 신선하고 다른 곳에 비해 조개 종류가 많아서 너무 좋았어요.
16,17,배곧 우정횟집,방문자 리뷰,오랜만에 다녀온 오이도 음식 너무나도 맛있고 가격 대비 최고 홀 서빙해 주시는 이 모님 너무나도 친절하고 피드백도 빠르고 너무 좋아요. 다음에 또 방문합니다.
17,18,배곧 우정횟집,방문자 리뷰,일단 뷰가 너무 좋습니다. 직원분들도 친절하시고 음식도 깔끔하니 맛잇습니다.
18,19,배곧 우정횟집,방문자 리뷰,사장님이 엄청 친절하시고 뷰도 좋고 회가 신선하고 맛있어요.
19,20,배곧 우정횟집,방문자 리뷰,양도 많고 맛있어요. 이 모님도 친절하시고 특히 여기 간장게장 한번 맛보면 다른 집 못 가요.
20,21,배곧 우정횟집,방문자 리뷰,너무 신선하고 맛있어요. 이 모님도 친절하고 넓고 깨끗해요. 밑반찬도 다양하게 나오고 맛있는 게 최고.
21,22,배곧 우정횟집,방문자 리뷰,오랜만에 갔는데 가격은 올랐는데 음식이 형편없네요 나오던 밑반찬 수도 엄청 줄었구요. 모듬 회랑 물회는 절대 시키지 마세요.
22,23,배곧 우정횟집,방문자 리뷰,사장님도 친절하시고 기본 반찬과 해산물도 신선하고 맛있어요.
23,24,배곧 우정횟집,방문자 리뷰,뷰도 좋고 좋으신 분들과 같이 왔는데 엄청 맛있습니다. 담에도 또 오겠습니다.
24,25,배곧 우정횟집,방문자 리뷰,안 남기고 다 먹음. 짱 맛있고 친절해요.
25,26,배곧 우정횟집,방문자 리뷰,이모님들 너무너무 친절하시고요 조개도 신선하고 다른 곳에 비해 조개 종류가 많아서 너무 좋았어요.
26,27,배곧 우정횟집,방문자 리뷰,오랜만에 다녀온 오이도 음식 너무나도 맛있고 가격 대비 최고 홀 서빙해 주시는 이 모님 너무나도 친절하고 피드백도 빠르고 너무 좋아요. 다음에 또 방문합니다.
27,28,배곧 우정횟집,방문자 리뷰,일단 뷰가 너무 좋습니다. 직원분들도 친절하시고 음식도 깔끔하니 맛잇습니다.
28,29,배곧 우정횟집,방문자 리뷰,사장님이 엄청 친절하시고 뷰도 좋고 회가 신선하고 맛있어요.
29,30,배곧 우정횟집,방문자 리뷰,양도 많고 맛있어요. 이 모님도 친절하시고 특히 여기 간장게장 한번 맛보면 다른 집 못 가요.
30,31,배곧 우정횟집,방문자 리뷰,너무 신선하고 맛있어요. 이 모님도 친절하고 넓고 깨끗해요. 밑반찬도 다양하게 나오고 맛있는 게 최고.
31,32,배곧 우정횟집,방문자 리뷰,오랜만에 갔는데 가격은 올랐는데 음식이 형편없네요 나오던 밑반찬 수도 엄청 줄었구요. 모듬 회랑 물회는 절대 시키지 마세요.
32,33,배곧 우정횟집,방문자 리뷰,사장님도 친절하시고 기본 반찬과 해산물도 신선하고 맛있어요.
33,34,배곧 우정횟집,방문자 리뷰,뷰도 좋고 좋으신 분들과 같이 왔는데 엄청 맛있습니다. 담에도 또 오겠습니다.
34,35,배곧 우정횟집,방문자 리뷰,안 남기고 다 먹음. 짱 맛있고 친절해요.
35,36,배곧 우정횟집,방문자 리뷰,이모님들 너무너무 친절하시고요 조개도 신선하고 다른 곳에 비해 조개 종류가 많아서 너무 좋았어요.
36,37,배곧 우정횟집,방문자 리뷰,오랜만에 다녀온 오이도 음식 너무나도 맛있고 가격 대비 최고 홀 서빙해 주시는 이 모님 너무나도 친절하고 피드백도 빠르고 너무 좋아요. 다음에 또 방문합니다.
37,38,배곧 우정횟집,방문자 리뷰,일단 뷰가 너무 좋습니다. 직원분들도 친절하시고 음식도 깔끔하니 맛잇습니다.
38,39,배곧 우정횟집,방문자 리뷰,사장님이 엄청 친절하시고 뷰도 좋고 회가 신선하고 맛있어요.
39,40,배곧 우정횟집,방문자 리뷰,양도 많고 맛있어요. 이 모님도 친절하시고 특히 여기 간장게장 한번 맛보면 다른 집 못 가요.
40,41,배곧 우정횟집,방문자 리뷰,맛있어요. 창가에 앉으면 뷰도 좋습니다.
41,42,배곧 우정횟집,방문자 리뷰,오래된 단골집 입니다. 맛있게 먹었습니다. 어느 순간부터 간강게장 추가 비용 받는 게 아쉽지만 늘 찾는 곳이예요.
42,43,배곧 우정횟집,방문자 리뷰,음식 가짓수도 많고 맛 좋아요. 게다가 뷰 맛집이네요.
43,44,배곧 우정횟집,방문자 리뷰,오이도에 오면 항상 들리는 맛집.
44,45,배곧 우정횟집,방문자 리뷰,친절하시고 좋았어요. 가격은 좀 비싸긴 해요. 생각보다 칼국수는 별로였구요. 스끼 다시는 잘 나왔어요.
45,46,배곧 우정횟집,방문자 리뷰,이모님 너무 친절하시고 반찬들도 넘후 맛있어요. 인 생맛집 존 맛탠 오이도 하면 우정횟집 냠냠 메인 음식도 나무나무 맛있아요. 잘 먹고 갑니다.
46,47,배곧 우정횟집,방문자 리뷰,너무 너무 맛있어요.
47,48,배곧 우정횟집,방문자 리뷰,위에 리뷰 사진처럼 저랬다면 좋았을 껄 그릇도 전혀 다르네. 꼭 저렇게 해달라 하시길 뜨내기 손님으로 봤어도 그렇게 대하지는 않을 듯 아무리 바빠도 처음 에 물통 종이컵 수저도 우당탕 놓기 시작하더니 상을 빨리 치워줘야 맛있는 거 드실 수 있다며 빨리 먹고 나가라는 식 옆에서 계속 우당탕 치우는데 메인 모듬 회가 나왔는데 맛있게 드세요 하더니 가버려놓고 이거 안 나왔다고 했더니 나올 꺼라고 핑계 대면서 툭 거리고 결국 생선구이 샐러드 몇 가지가 안 나온.
48,49,배곧 우정횟집,방문자 리뷰,모듬회 코스 소자 시켰는데 너무 풍성하고 괜찮았어요. 관광지 주변은 맛은 별로 고 비싼 경우가 많은데 여긴 여자 셋 양이 서 모둠회 소자 시키니 정말 배 불르게 잘 먹었습니다. 원래 리뷰 잘 안 쓰는데 너무 만족해서 적어요. 회 스키 다시 모두 다채롭고 싱싱했고 직원 분들도 다 친절 하셨어요. 특히 강아지 동반 되서 좋 네요.
49,50,배곧 우정횟집,방문자 리뷰,친구 소개로 오늘 처음 와 봤는데 가게 안에도 매우 청결할 뿐더러 가성비 가득한 음식들이 가득했어요. 다음에도 방문 할 예정입니다.
