context,key
분위기 좋다 또,1
인테리어 알다 좋다 매장 넓다 것,1
인테리어 아주 예쁘다 매장 의 예쁘다,1
분위기 좋다 카페,1
인테리어 예쁘다 또 인테리어 매장 굉장하다 매장 굉장하다 넓다 매장 넓다 시,1
분위기 좋다 들다,1
인테리어 따뜻하다 색,1
분위기 좋다 또 인테리어 로 모던,1
인테리어 깔끔하다 심플 인테리어 맘 항공,1
인테리어 좋아하다 요런,1
분위기 넘다 좋다,1
인테리어 넘다 세련되다,1
인테리어 정말 고급스럽다,1
인테리어 요 예쁘다 인테리어 귀엽다 매장 매장 굉장하다 심플,1
매장 넓다 데,1
매장 너무 예쁘다,1
분위기 좋다 카페,1
인테리어 끄다 모던,1
매장 넓다 고도,1
분위기 예쁘다 사장,1
분위기 깔끔하다 들다,1
인테리어 깔끔하다 고,1
매장 넓다 천장,1
분위기 너무 좋다 분위기 좋다 집일,1
인테리어 전체 깔끔하다,1
매장 에서 않다,0
매장 없다 매장,0
분위기 괜찮다 보다,1
매장 하나 없다,0
매장 에서 않다,0
매장 어렵다 않다,0
분위기 깔끔하다 사장 매장 분위기 깔끔하다,1
매장 에서 않다,0
분위기 좋다 투,1
분위기 좋다 불편하다 인테리어 고급스럽다 양도,1
인테리어 해치 않다,0
분위기 좋다 하,1
분위기 조용하다 조명도,1
분위기 좋다 맛집 인테리어 조명 아늑하다,1
분위기 좋다 특히,1
인테리어 예쁘다 조명,1
인테리어 너무 예쁘다,1
분위기 좋다 투,1
분위기 고급 져서 분위기 좋다 느껴지다,1
분위기 괜찮다 남자,1
인테리어 깔끔하다 간격 매장 인테리어 깔끔하다,1
인테리어 예쁘다 팔,1
분위기 좋다 투,1
분위기 너무 좋쟈,1
분위기 음식 깔끔하다,1
분위기 좋다 투 분위기 좋다 곳 분위기 너무 좋다,1
분위기 좋다 가격,1
분위기 모던 느낌,1
분위기 깡패 부터,1
인테리어 모던 느끼다,1
분위기 넓다 고급,1
분위기 곳 않다,0
분위기 좋다 파스타 인테리어 정말 예쁘다,1
분위기 좋다 덩달아,1
분위기 전체 깔끔하다,1
분위기 괜찮다 곳도,1
분위기 좋다 맛,1
분위기 만족하다 전 분위기 좋다 안,1
분위기 좋다 하다,1
분위기 좋다 꼭 분위기 너무 좋다,1
인테리어 진짜 고급,1
분위기 짱 집,1
인테리어 분위기 좋다,1
매장 내부 넓다,1
매장 너무 넓다,1
매장 굉장하다 넓다,1
