context,key
양 진짜 많다,1
양 매우 많다,1
가격 등 있다,0
양 많다 내용물,1
양은 많다 않다 없어지다 양은,0
양 충분하다 남성,1
안 양념,0
양 넉넉하다 편이 양 부족하다 많다,1
양념 안 싸다 양념 살짝 적다 안 양념,0
양 많다 하나,1
양념 남김없이 먹다,0
양념 또 괜찮다,1
넉넉하다 양으로 넉넉하다 양으로,1
가격 너무 저렴하다,1
가격 저렴하다 하다,1
않다 양푼,0
가격 수 있다,0
양념 입안 퍼지다 안 양념,0
않다 양념,0
아쉽다 양푼,0
양념 없다 기,0
양하다 아쉽다 생각 양은 것 아니다,0
가격 착하다 요,1
가격 저렴하다 건 가격 너무 저렴하다,1
양 적다 느낌,0
양하다 취향 별로,0
양하다 골고루 별로,0
양 많다 메인,1
않다 양도,0
양은 적지 않다,0
양 많다 나오다,1
가격 엄청 착하다,1
양 많다 아스파라거스,1
가격 착하다 너무,1
가격 착하다 배곧,1
가격 저렴하다 않다,0
양 많다 놀래다,1
양 많다 신비 양 많다 보다 양 많다 모르다,1
양 많다 무난,1
가격 안 갈비살,0
가격 비싸다 않다,1
가격 저렴하다 편 가격 엄청 싸다 가격 저렴하다 게,1
가격 저렴하다 에서,1
양 많다 우리,1
양 엄청 많다,1
양파 치즈 없다,0
양 많다 모르다,1
양은 많다 칼국수,1
양 많다 습니다,1
양 많다 감안,1
양 많다 다양하다 양 많다 걸리다,1
양 진짜 많다,1
양 많다 라면 양 많다 배부르다,1
양 넉넉하다 기대하다,1
양 복집 아니다,0
아니다 양도,0
양념 넉넉하다 치밥,1
양 아니다 저희,0
양념 맵다 많이,1
양하다 안 버섯,0
양하다 충분하다 챙기다,1
가격 저렴하다 배달 가격 굉장하다 저렴하다 양하다 든든하다 사리,1
양념 안 까지,0
안 양념,0
양 정말 많다,1
양념 없다 양념 없다 양념 없다 양념,0
가격 비싸다 않다 양 많다 직화 양 많다 더 양 많다 다음,1
양 많다 하다,1
아니다 양파,0
양념 정말 많이 양 너무 많다,1
양념 잘못 살짝,0
가격 저렴하다 부담,0
양념 넉넉하다 정말 양 많다 날,1
가격 괜찮다 아,1
가격 적당하다 보이다 양 많다 팍팍 양 굉장하다 많다,1
양하다 것 많이,1
양하다 너무 많다,1
양은 충분하다 것,1
가격 넘다 착하다,1
양 많이 비어,1
양하다 많다 요크,1
가격 비싸다 생각,0
양은 정말 많다,1
양 많다 보이지,1
양하다 않다 샐러드 양 적다 비싸다,0
안 양상,0
양하다 많다 되다,1
양 많다 시럽,1
양 많다 인,1
양하다 파니니 많다,1
가격 대가 있다,0
가격 사악하다 역시,0
가격 너무 만족스럽다,1
가격 저렴하다 굽다,1
양 많다 눈 적당하다 양으로,1
양 모자라 않다,0
양 많다 남다 양 넉넉하다 펴다,1
양 많다 함께,1
안 양파,0
가격 있다 맛,0
않다 양도,0
양 이르다 많다 양 진짜 많다,1
가격 조금 있다,0
가격 싸다 평범하다,1
가격 괜찮다 만족스럽다,1
가격 대가 부담스럽다,0
양 적당하다 달라,1
양 많다 않다,0
양 너무 많다,1
양 아니다 플레이,0
가격 괜찮다 윗줄,1
양 훨씬 많다,1
양보 하다 못,0
양 엄청 많다,1
않다 양념,0
양 아쉽다 마,0
가격 비싸다 주차,0
양은 딱 적당하다,1
안 양념,0
양 많다 그릇,1
양 많다 비싸다,1
양하다 않다 메뉴 양념 놀다 않다,0
가격 적당하다 하다,1
양 무척 많다,1
가격 이라서 부담,0
양념 적당하다 남다,1
가격표 요 비싸다,0
양 적지 않다,0
양 아니다 꿀,0
양 아니다 집,0
가격 대가 있다,0
가격 맛있다 좋다,0
가격 부담 없다,1
가격 있다 장점,0
가격 착하다 반찬,1
양하다 않다 리치,0
가격 저렴하다 과 가격 저렴하다 배곧,1
양하다 맛 괜찮다,1
양 충분하다 가격,1
양쪽 끝없이 펼쳐지다,0
가격 저렴하다 받다,1
가격 비싸다 그,0
가격 하다 있다,0
가격 까지 괜찮다,1
가격 훌륭하다 홀,1
양 적다 보이,0
양보 하다 없이,0
양 정말 많다,1
양은 것 아니다,0
가격 사악하다 맛보다 가격 아깝다 않다,0
가격 관광지 저렴하다,1
양은 정말 충분하다 양 넉넉하다 수,1
양하다 저 별로,0
양 보이지 않다,0
양 너무 많다,1
양 부족하다 않다,0
양 적다 보이,0
양 많다 놀라다,1
양 많다 진짜,1
양 대박 많다,1
양 적다 여서,0
양념 적 않다,0
않다 양철,0
양 정말 많다,1
양 많다 않다,0
가격 있다 부담,0
가격 착하다 으로도,1
양념 쎄다 않다,0
가격 훌륭하다 하다,1
가격 으론 못,0
가격 대가 높다,0
양은 많다 편,1
양 완전 많다 양 너무 많다,1
양 넉넉하다 쌀국,1
양 무지 많다 양 갈비살 넉넉하다,1
적당하다 양도,1
양하다 곳 많이,1
양 훨씬 많다,1
양은 확실하다 많다,1
양 진짜 많다,1
가격 더 저렴하다 가격 저렴하다 찾다 양 좀 많다,1
양 넉넉하다 굳이,1
가격 대다 있다,0
양은 많다 모밀,1
양은 굉장하다 많다 양 아주 많다 양 어찌나 많다,1
양 많다 곱창,1
양 아니다 내용물,0
가격 먹기 맛있다,0
양하다 하다 없다,0
양 많다 흔하다,1
가격 굿굿 박스,1
가격 저렴하다 그렇다 가격 생각 괜찮다,1
가격 저렴하다 하다,1
가격 너무 저렴하다,1
아시안 양식,0
가격 괜찮다 가격,1
가격 부담 하다,0
가격 맛 좋다,1
가격 너무 착하다 양 많다 기선,1
가격 사악하다 그렇다고 가격 만치 않다 가격 착하다 않다 가격 있다 비야,0
가격 대비 훌륭하다,1
않다 양도,0
가격 넘다 저렴하다 가격 저렴하다 적,1
가격 착하다 양도 가격 너무 저렴하다 가격 대비 훌륭하다 가격 훨씬 저렴하다 가격 저렴하다 진짜,1
가격 굿 너무,1
양하다 많이 있다,1
양 많다 요,1
가격 저렴하다 비다 가격 저렴하다 정말,1
양 엄청 많다 양 엄청 많다,1
양 카페 많이,1
양 많다 버섯,1
양 많이 주다 양 많다 음,1
가격 너무 좋다 가격 저렴하다 푸다,1
양 많다 보이다,1
양은 아쉽다 비주,0
양하다 많다 좋다,1
양러 너무 않다,0
양 적당하다 여럿,1
가격 착하다 양도,1
가격 많다 않다,0
양 아쉽다 느끼하다,0
양 적당 쓰다,1
양 아니다 적당하다,0
양 조금 아쉽다,0
양은 많다 않다,0
양은 많다 않다,0
양 적다 가격 양 너무 적다 양 적다 말 양 적다 것,0
양 편안 시키다,0
양 너무 적다 양 때문 아쉽다,0
양은 적다 저희 양 적다 그냥,0
양은 작다 거임,0
양 많다 분,1
양하다 않다 좀,0
가격 저렴 양도,1
가격 싸다 않다,0
가격 대가 높다,0
양하다 너무 많다,1
양심 없다 때문,0
양 아니다 광장시장 양 적다 오해,0
양 적당하다 피클,1
가격 맛 훌륭하다,1
양은 전체 넉넉하다,1
가격 너무 착하다,1
가격 아깝다 않다,0
가격 착하다 편이,1
양 꽤 많다,1
가격 대가 있다 양 좀 적다,0
가격 대비 괜찮다,1
양하다 샐러드 아니다,0
양 많다 덜다 양 많다 만큼이나,1
양하다 많이 보이다,1
안 양도,0
양 엄청 많다,1
양 많다 마르다,1
양 꽤 많다,1
양 엄청 많다,1
가격 비싸다 차이다 양 적지 않다,0
많다 양고기,1
양 많다 나머지,1
양 많다 많이,1
양 적다 보이다,0
가격 착하다 맛,1
양 많다 요,1
양 많다 그래도,1
양념 넣다 않다,0
안 양파,0
양하다 것 많다,1
양심 야채 넉넉하다 넉넉하다 양심,1
입안 양파,0
양 많다 것,1
가격 적당 하쥬,1
양 못 하다,0
양 많다 다,1
양념 부족하다 않다,0
양하다 않다 메뉴,0
양 많다 아서,1
양념 섞다 않다,0
양은 많다 철판,1
양 많다 되다,1
양은 않다 싶다,0
양 편 아니다,0
양념 많이 먹다,1
양하다 안 불고기,0
양념 타지 않다,0
가격 미치다 싸다 가격 좋다 퀄리티,1
